AC;13622323000;1;ACRE
AL;46363870000;2;ALAGOAS
AP;13861201000;3;AMAPÁ
AM;86560496000;4;AMAZONAS
BA;245025000000;5;BAHIA
CE;130621000000;6;CEARÁ
DF;215613000000;7;DISTRITO FEDERAL
ES;120363000000;8;ESPÍRITO SANTO
GO;173632000000;9;GOIÁS
MA;78475166000;10;MARANHÃO
MT;107418000000;11;MATO GROSSO
MS;83082336000;12;MATO GROSSO DO SUL
MG;519326000000;13;MINAS GERAIS
PA;130883000000;14;PARÁ
PB;56140394000;15;PARAÍBA
PR;376960000000;16;PARANÁ
PE;156955000000;17;PERNAMBUCO
PI;39148433000;18;PIAUÍ
RJ;659137000000;19;RIO DE JANEIRO
RN;57249756000;20;RIO GRANDE DO NORTE
RS;381985000000;21;RIO GRANDE DO SUL
RO;36562837000;22;RONDÔNIA
RR;10354355000;23;RORAIMA
SC;249073000000;24;SANTA CATARINA
SP;1939890000000;25;SÃO PAULO
SE;38554462000;26;SERGIPE
TO;28930063000;27;TOCANTINS
